,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
291,0.274,0.654,0.47,0.249,0.103,-10.383,0.0586,77.083,0.462
292,0.382,0.474,0.604,0.0,0.127,-6.065,0.0374,171.857,0.555
293,0.179,0.768,0.82,0.0,0.704,-4.63,0.0475,129.969,0.625
294,0.098,0.766,0.519,0.0,0.0855,-7.355,0.0366,129.972,0.612
295,0.00463,0.819,0.702,0.000207,0.101,-6.129,0.251,95.094,0.573
296,0.241,0.755,0.594,0.0,0.107,-5.906,0.216,178.929,0.237
297,0.00161,0.699,0.805,0.00177,0.249,-5.535,0.0345,109.976,0.232
298,0.103,0.602,0.493,0.0,0.119,-6.907,0.0308,112.979,0.487
299,0.257,0.662,0.507,0.0,0.0465,-8.238,0.118,86.412,0.676
300,0.0246,0.841,0.733,0.0,0.174,-5.077,0.142,130.009,0.284
301,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,145.837,0.065
302,0.33,0.609,0.799,0.0,0.108,-6.883,0.24,157.74,0.582
303,0.0738,0.504,0.785,0.0,0.239,-4.802,0.104,173.968,0.502
304,0.547,0.274,0.348,0.0133,0.334,-8.631,0.0293,87.43,0.328
305,0.0175,0.531,0.909,0.0,0.231,-4.236,0.034,97.546,0.814
306,0.0651,0.797,0.844,0.0,0.087,-5.482,0.275,170.142,0.52
307,0.235,0.522,0.428,2.35e-06,0.278,-11.332,0.143,129.829,0.399
308,0.0165,0.747,0.74,9.94e-05,0.101,-4.325,0.191,176.062,0.552
309,0.0264,0.73,0.792,0.0,0.101,-5.33,0.13,99.039,0.745
310,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,0.419
311,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,0.569
312,0.0326,0.744,0.868,0.0,0.0822,-4.524,0.047,93.037,0.586
313,0.0123,0.852,0.674,0.0,0.126,-4.166,0.211,130.085,0.584
314,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,90.013,0.68
315,0.0375,0.812,0.8,0.000112,0.0638,-4.282,0.077,130.036,0.357
316,0.362,0.357,0.668,1.37e-06,0.727,-8.444,0.0479,139.986,0.407
317,0.779,0.699,0.304,0.000993,0.137,-11.192,0.0993,119.705,0.271
318,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,0.694
319,0.161,0.513,0.661,0.0,0.246,-6.419,0.24,94.791,0.179
320,0.0108,0.657,0.695,0.0,0.0822,-4.493,0.0321,65.997,0.683
321,0.038,0.914,0.463,0.0,0.0833,-10.187,0.174,144.039,0.532
322,0.223,0.63,0.485,0.0535,0.103,-8.955,0.0299,149.23,0.398
323,0.0366,0.781,0.533,0.0,0.597,-9.215,0.302,133.967,0.326
324,0.133,0.288,0.638,8.16e-05,0.14,-6.935,0.0779,66.424,0.147
325,0.156,0.815,0.567,0.0,0.0884,-4.653,0.135,95.034,0.732
326,0.0737,0.574,0.664,0.0,0.22,-11.5,0.0346,122.956,0.936
327,0.0811,0.631,0.672,0.0,0.154,-4.583,0.0347,119.948,0.282
328,0.0872,0.792,0.793,0.0,0.22,-6.185,0.0841,123.031,0.775
